Official name of position,internal disk name,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC port,PC identifier,PC name,DCDC,DCDC J11/J12,DCDC channel,DCDC name,Filterboard DCS,Filterboard module power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,CCU,channel,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED channel,FED position,FED receiver,FED ID,FEC/FED crate,FEC ID,FEC position,mfec,mfecchannel,HV group,nominal HV
FPix_BmO_D1_BLD5_PNL2_RNG2,,13T,M-Q-2-26,4123W,6,1Tc,1TB,1,PR126,,PB-21,J12,3,,,CI-A 035,P87,4,SN122498/0032,9,30201210004662,A,0x7e,0x10,-z up right 3,4,-z up right 2,2,11,orange-2,27/28,2,b,1302,bottom,,9,1,1,1c2,
FPix_BmO_D1_BLD4_PNL2_RNG2,,14T,M-B-7-22,4010,1,1Td,1TA,7,PR156,,PB-31,J12,3,,,CI-A 033,FP24,4,SN122498/0032,9,30201210004662,B,0x7d,0x10,-z up right 3,4,-z up right 2,2,11,brown-4,31/32,2,b,1302,bottom,,9,1,2,1d2,
FPix_BmO_D1_BLD3_PNL2_RNG2,,15T,M-Q-A-08,4110W,8,1Td,1TA,5,PR156,,PB-31,J12,3,,,CI-A 033,FP24,3,SN122498/0033,9,30201210004662,B,0x7d,0x10,-z up right 3,3,-z up right 2,2,12,brown-4,7/8,2,t,1302,bottom,,9,1,2,1d2,
FPix_BmO_D1_BLD2_PNL2_RNG2,,16T,M-Q-3-41,4021,7,1Td,1TA,3,PR156,,PB-31,J12,3,,,CI-A 033,FP24,2,SN122498/0049,9,30201210004662,B,0x7d,0x10,-z up right 3,2,-z up right 2,2,13,brown-4,31/32,1,b,1301,bottom,,9,1,2,1d2,
FPix_BmO_D1_BLD1_PNL2_RNG2,,17T,M-Q-3-09,4013,6,1Td,1TA,1,PR156,,PB-31,J12,3,,,CI-A 033,FP24,1,SN122498/0055,9,30201210004662,B,0x7d,0x10,-z up right 3,1,-z up right 2,2,14,brown-4,7/8,1,t,1301,bottom,,9,1,2,1d2,
FPix_BmO_D1_BLD17_PNL1_RNG2,,1B,M-Y-P-NW,4381,5,1Ba,1BD,7,PR020,,PB-16,J11,1,,,CI-A 036,FP25,22,SN133278/0001,15,30201210004615,A,0x7b,0x10,-z down right 3,1,-z down right 2,2,1,blue-1,25/26,7,b,1307,bottom,,10,1,1,1a2,
FPix_BmO_D1_BLD16_PNL1_RNG2,,2B,M-P-2-32,4373,4,1Ba,1BD,5,PR020,,PB-16,J11,1,,,CI-A 036,FP25,21,SN133278/0002,15,30201210004615,A,0x7b,0x10,-z down right 3,2,-z down right 2,2,2,blue-1,1/2,7,t,1307,bottom,,10,1,1,1a2,
FPix_BmO_D1_BLD15_PNL1_RNG2,,3B,M-Q-2-35,4109W,3,1Ba,1BD,3,PR020,,PB-16,J11,1,,,CI-A 036,FP25,20,SN133278/0003,15,30201210004615,A,0x7b,0x10,-z down right 3,3,-z down right 2,2,3,blue-1,25/26,6,b,1306,bottom,,10,1,1,1a2,
FPix_BmO_D1_BLD14_PNL1_RNG2,,4B,M-N-3-25,4017,2,1Ba,1BD,1,PR020,,PB-16,J11,1,,,CI-A 036,FP25,19,SN133278/0004,15,30201210004615,A,0x7b,0x10,-z down right 3,4,-z down right 2,2,4,blue-1,1/2,6,t,1306,bottom,,10,1,1,1a2,
FPix_BmO_D1_BLD13_PNL1_RNG2,,5B,M-Q-1-14,4114W,6,1Bb,1BC,7,PR049,,PB-4,J11,1,,,CI-A 027,PP6,19,SN133278/0004,15,30201210004615,B,0x7c,0x10,-z down right 3,4,-z down right 2,2,4,green-3,5/6,6,t,1306,bottom,,10,1,2,1b2,
