#name                              A/B   FEC       mfec      mfecch    hubid     port      rocid     FEDid     FEDch     roc# 
FPix_BpO_D1_BLD10_PNL2_RNG1_ROC12         B        10      1     2     14      3      12      1293       4     4
FPix_BpO_D1_BLD10_PNL2_RNG1_ROC13         B        10      1     2     14      3      13      1293       4     5
FPix_BpO_D1_BLD10_PNL2_RNG1_ROC14         B        10      1     2     14      3      14      1293       4     6
FPix_BpO_D1_BLD10_PNL2_RNG1_ROC15         B        10      1     2     14      3      15      1293       4     7
FPix_BpO_D1_BLD11_PNL2_RNG1_ROC0         A        10      1     2     13      0      0      1293       27     0
FPix_BpO_D1_BLD11_PNL2_RNG1_ROC1         A        10      1     2     13      0      1      1293       27     1
FPix_BpO_D1_BLD11_PNL2_RNG1_ROC2         A        10      1     2     13      0      2      1293       27     2
FPix_BpO_D1_BLD11_PNL2_RNG1_ROC3         A        10      1     2     13      0      3      1293       27     3
FPix_BpO_D1_BLD11_PNL2_RNG1_ROC4         A        10      1     2     13      1      4      1293       27     4
FPix_BpO_D1_BLD11_PNL2_RNG1_ROC5         A        10      1     2     13      1      5      1293       27     5
FPix_BpO_D1_BLD11_PNL2_RNG1_ROC6         A        10      1     2     13      1      6      1293       27     6
FPix_BpO_D1_BLD11_PNL2_RNG1_ROC7         A        10      1     2     13      1      7      1293       27     7
FPix_BpO_D1_BLD11_PNL2_RNG1_ROC8         B        10      1     2     13      2      8      1293       28     0
FPix_BpO_D1_BLD11_PNL2_RNG1_ROC9         B        10      1     2     13      2      9      1293       28     1
FPix_BpO_D1_BLD11_PNL2_RNG1_ROC10         B        10      1     2     13      2      10      1293       28     2
FPix_BpO_D1_BLD11_PNL2_RNG1_ROC11         B        10      1     2     13      2      11      1293       28     3
FPix_BpO_D1_BLD11_PNL2_RNG1_ROC12         B        10      1     2     13      3      12      1293       28     4
FPix_BpO_D1_BLD11_PNL2_RNG1_ROC13         B        10      1     2     13      3      13      1293       28     5
FPix_BpO_D1_BLD11_PNL2_RNG1_ROC14         B        10      1     2     13      3      14      1293       28     6
FPix_BpO_D1_BLD11_PNL2_RNG1_ROC15         B        10      1     2     13      3      15      1293       28     7
FPix_BpO_D1_BLD1_PNL1_RNG1_ROC0         A        9      1     1     12      0      0      1287       5     0
FPix_BpO_D1_BLD1_PNL1_RNG1_ROC1         A        9      1     1     12      0      1      1287       5     1
FPix_BpO_D1_BLD1_PNL1_RNG1_ROC2         A        9      1     1     12      0      2      1287       5     2
FPix_BpO_D1_BLD1_PNL1_RNG1_ROC3         A        9      1     1     12      0      3      1287       5     3
FPix_BpO_D1_BLD1_PNL1_RNG1_ROC4         A        9      1     1     12      1      4      1287       5     4
FPix_BpO_D1_BLD1_PNL1_RNG1_ROC5         A        9      1     1     12      1      5      1287       5     5
FPix_BpO_D1_BLD1_PNL1_RNG1_ROC6         A        9      1     1     12      1      6      1287       5     6
FPix_BpO_D1_BLD1_PNL1_RNG1_ROC7         A        9      1     1     12      1      7      1287       5     7
FPix_BpO_D1_BLD1_PNL1_RNG1_ROC8         B        9      1     1     12      2      8      1287       6     0
FPix_BpO_D1_BLD1_PNL1_RNG1_ROC9         B        9      1     1     12      2      9      1287       6     1
FPix_BpO_D1_BLD1_PNL1_RNG1_ROC10         B        9      1     1     12      2      10      1287       6     2
FPix_BpO_D1_BLD1_PNL1_RNG1_ROC11         B        9      1     1     12      2      11      1287       6     3
FPix_BpO_D1_BLD1_PNL1_RNG1_ROC12         B        9      1     1     12      3      12      1287       6     4
FPix_BpO_D1_BLD1_PNL1_RNG1_ROC13         B        9      1     1     12      3      13      1287       6     5
FPix_BpO_D1_BLD1_PNL1_RNG1_ROC14         B        9      1     1     12      3      14      1287       6     6
FPix_BpO_D1_BLD1_PNL1_RNG1_ROC15         B        9      1     1     12      3      15      1287       6     7
FPix_BpO_D1_BLD2_PNL1_RNG1_ROC0         A        9      1     1     11      0      0      1287       29     0
FPix_BpO_D1_BLD2_PNL1_RNG1_ROC1         A        9      1     1     11      0      1      1287       29     1
FPix_BpO_D1_BLD2_PNL1_RNG1_ROC2         A        9      1     1     11      0      2      1287       29     2
FPix_BpO_D1_BLD2_PNL1_RNG1_ROC3         A        9      1     1     11      0      3      1287       29     3
FPix_BpO_D1_BLD2_PNL1_RNG1_ROC4         A        9      1     1     11      1      4      1287       29     4
FPix_BpO_D1_BLD2_PNL1_RNG1_ROC5         A        9      1     1     11      1      5      1287       29     5
FPix_BpO_D1_BLD2_PNL1_RNG1_ROC6         A        9      1     1     11      1      6      1287       29     6
FPix_BpO_D1_BLD2_PNL1_RNG1_ROC7         A        9      1     1     11      1      7      1287       29     7
FPix_BpO_D1_BLD2_PNL1_RNG1_ROC8         B        9      1     1     11      2      8      1287       30     0
FPix_BpO_D1_BLD2_PNL1_RNG1_ROC9         B        9      1     1     11      2      9      1287       30     1
FPix_BpO_D1_BLD2_PNL1_RNG1_ROC10         B        9      1     1     11      2      10      1287       30     2
FPix_BpO_D1_BLD2_PNL1_RNG1_ROC11         B        9      1     1     11      2      11      1287       30     3
FPix_BpO_D1_BLD2_PNL1_RNG1_ROC12         B        9      1     1     11      3      12      1287       30     4
FPix_BpO_D1_BLD2_PNL1_RNG1_ROC13         B        9      1     1     11      3      13      1287       30     5
FPix_BpO_D1_BLD2_PNL1_RNG1_ROC14         B        9      1     1     11      3      14      1287       30     6
FPix_BpO_D1_BLD2_PNL1_RNG1_ROC15         B        9      1     1     11      3      15      1287       30     7
FPix_BpO_D1_BLD3_PNL1_RNG1_ROC0         A        9      1     1     10      0      0      1288       5     0
FPix_BpO_D1_BLD3_PNL1_RNG1_ROC1         A        9      1     1     10      0      1      1288       5     1
FPix_BpO_D1_BLD3_PNL1_RNG1_ROC2         A        9      1     1     10      0      2      1288       5     2
FPix_BpO_D1_BLD3_PNL1_RNG1_ROC3         A        9      1     1     10      0      3      1288       5     3
FPix_BpO_D1_BLD3_PNL1_RNG1_ROC4         A        9      1     1     10      1      4      1288       5     4
FPix_BpO_D1_BLD3_PNL1_RNG1_ROC5         A        9      1     1     10      1      5      1288       5     5
FPix_BpO_D1_BLD3_PNL1_RNG1_ROC6         A        9      1     1     10      1      6      1288       5     6
FPix_BpO_D1_BLD3_PNL1_RNG1_ROC7         A        9      1     1     10      1      7      1288       5     7
