#name                              A/B   FEC       mfec      mfecch    hubid     port      rocid     FEDid     FEDch     roc# 
FPix_BpI_D1_BLD1_PNL2_RNG1_ROC11         B        9      1     2     13      2      11      1280       4     3
FPix_BpI_D1_BLD1_PNL2_RNG1_ROC12         B        9      1     2     13      3      12      1280       4     4
FPix_BpI_D1_BLD1_PNL2_RNG1_ROC13         B        9      1     2     13      3      13      1280       4     5
FPix_BpI_D1_BLD1_PNL2_RNG1_ROC14         B        9      1     2     13      3      14      1280       4     6
FPix_BpI_D1_BLD1_PNL2_RNG1_ROC15         B        9      1     2     13      3      15      1280       4     7
FPix_BpI_D1_BLD11_PNL1_RNG1_ROC0         A        10      1     1     12      0      0      1286       29     0
FPix_BpI_D1_BLD11_PNL1_RNG1_ROC1         A        10      1     1     12      0      1      1286       29     1
FPix_BpI_D1_BLD11_PNL1_RNG1_ROC2         A        10      1     1     12      0      2      1286       29     2
FPix_BpI_D1_BLD11_PNL1_RNG1_ROC3         A        10      1     1     12      0      3      1286       29     3
FPix_BpI_D1_BLD11_PNL1_RNG1_ROC4         A        10      1     1     12      1      4      1286       29     4
FPix_BpI_D1_BLD11_PNL1_RNG1_ROC5         A        10      1     1     12      1      5      1286       29     5
FPix_BpI_D1_BLD11_PNL1_RNG1_ROC6         A        10      1     1     12      1      6      1286       29     6
FPix_BpI_D1_BLD11_PNL1_RNG1_ROC7         A        10      1     1     12      1      7      1286       29     7
FPix_BpI_D1_BLD11_PNL1_RNG1_ROC8         B        10      1     1     12      2      8      1286       30     0
FPix_BpI_D1_BLD11_PNL1_RNG1_ROC9         B        10      1     1     12      2      9      1286       30     1
FPix_BpI_D1_BLD11_PNL1_RNG1_ROC10         B        10      1     1     12      2      10      1286       30     2
FPix_BpI_D1_BLD11_PNL1_RNG1_ROC11         B        10      1     1     12      2      11      1286       30     3
FPix_BpI_D1_BLD11_PNL1_RNG1_ROC12         B        10      1     1     12      3      12      1286       30     4
FPix_BpI_D1_BLD11_PNL1_RNG1_ROC13         B        10      1     1     12      3      13      1286       30     5
FPix_BpI_D1_BLD11_PNL1_RNG1_ROC14         B        10      1     1     12      3      14      1286       30     6
FPix_BpI_D1_BLD11_PNL1_RNG1_ROC15         B        10      1     1     12      3      15      1286       30     7
FPix_BpI_D1_BLD10_PNL1_RNG1_ROC0         A        10      1     1     11      0      0      1286       5     0
FPix_BpI_D1_BLD10_PNL1_RNG1_ROC1         A        10      1     1     11      0      1      1286       5     1
FPix_BpI_D1_BLD10_PNL1_RNG1_ROC2         A        10      1     1     11      0      2      1286       5     2
FPix_BpI_D1_BLD10_PNL1_RNG1_ROC3         A        10      1     1     11      0      3      1286       5     3
FPix_BpI_D1_BLD10_PNL1_RNG1_ROC4         A        10      1     1     11      1      4      1286       5     4
FPix_BpI_D1_BLD10_PNL1_RNG1_ROC5         A        10      1     1     11      1      5      1286       5     5
FPix_BpI_D1_BLD10_PNL1_RNG1_ROC6         A        10      1     1     11      1      6      1286       5     6
FPix_BpI_D1_BLD10_PNL1_RNG1_ROC7         A        10      1     1     11      1      7      1286       5     7
FPix_BpI_D1_BLD10_PNL1_RNG1_ROC8         B        10      1     1     11      2      8      1286       6     0
FPix_BpI_D1_BLD10_PNL1_RNG1_ROC9         B        10      1     1     11      2      9      1286       6     1
